variable,description,instruments,raw_variables,detail
T.cells.regulatory..Tregs.,cell type,,,cibersort from Brandt originally stored in CIBERSORT.Output_Job17.csv
T.cells.gamma.delta,cell type,,,cibersort from Brandt originally stored in CIBERSORT.Output_Job17.csv
NK.cells.resting,cell type,,,cibersort from Brandt originally stored in CIBERSORT.Output_Job17.csv
NK.cells.activated,cell type,,,cibersort from Brandt originally stored in CIBERSORT.Output_Job17.csv
Monocytes,cell type,,,cibersort from Brandt originally stored in CIBERSORT.Output_Job17.csv
Macrophages.M0,cell type,,,cibersort from Brandt originally stored in CIBERSORT.Output_Job17.csv
Macrophages.M2,cell type,,,cibersort from Brandt originally stored in CIBERSORT.Output_Job17.csv
Dendritic.cells.resting,cell type,,,cibersort from Brandt originally stored in CIBERSORT.Output_Job17.csv
Dendritic.cells.activated,cell type,,,cibersort from Brandt originally stored in CIBERSORT.Output_Job17.csv
Mast.cells.resting,cell type,,,cibersort from Brandt originally stored in CIBERSORT.Output_Job17.csv
Eosinophils,cell type,,,cibersort from Brandt originally stored in CIBERSORT.Output_Job17.csv
Neutrophils,cell type,,,cibersort from Brandt originally stored in CIBERSORT.Output_Job17.csv
